MED008+1.p,PickGiven2_Horn,smallest,"['cnf(c63592,plain,conditionnormo(skolem0005(n0))|conditionhyper(X3877)|qillt27(X3877)|drugi(X3877)|~s3(X3877)).', '', '', '', 'cnf(c63776,plain,releaselg(skolem0006(skolem0022(skolem0004(skolem0020(n0)))))|conditionhyper(skolem0004(n0))).', '', 'cnf(c63915,plain,releaselg(skolem0006(skolem0022(skolem0004(skolem0020(n0)))))|uptakelg(X3880)|conditionhyper(X3880)).', '', 'cnf(c64022,plain,releaselg(skolem0006(skolem0022(skolem0004(skolem0020(X3881)))))|gt(X3882,X3881)|~releaselg(X3881)).', 'Failure: Resource limit exceeded (time)', 'SZS status ResourceOut']"
MED008+1.p,PickGiven2_Horn,largest,"['cnf(c28078,plain,releaselg(skolem0004(skolem0006(skolem0004(X4265))))|drugsu(X4265)|conditionnormo(skolem0005(n0))).', '', 'cnf(c28189,plain,releaselg(skolem0004(skolem0006(skolem0004(skolem0006(X4267)))))|gt(X4267,X4266)|drugi(X4266)).', '', 'cnf(c45232,plain,releaselg(skolem0004(skolem0006(skolem0004(skolem0006(X4268)))))|drugi(X4268)).', '', 'cnf(c45279,plain,releaselg(skolem0004(skolem0006(skolem0004(skolem0006(X4269)))))|s3(X4269)).', '', 'cnf(c45296,plain,releaselg(skolem0004(skolem0006(skolem0004(skolem0006(X4270)))))|~s1(X4270)).', 'Failure: Resource limit exceeded (time)', 'SZS status ResourceOut']"
MGT037+1.p,PickGiven2_Horn,smallest,"['', '', '', 'cnf(c30099,plain,greater(number_of_organizations(skolem0001,skolem0002),zero)|resilience(zero)!=X2669|resilience(number_of_organizations(skolem0001,skolem0002))=X2669).', '', 'cnf(c3110,plain,~in_environment(X2671,resilience(growth_rate(X2670,zero)))|in_environment(X2671,resilience(growth_rate(X2670,cardinality_at_time(efficient_producers,skolem0002))))).', '', 'cnf(c3206,plain,equilibrium(equilibrium(growth_rate(X2672,cardinality_at_time(efficient_producers,skolem0002))))=equilibrium(equilibrium(growth_rate(X2672,zero)))).', '', 'Failure: Resource limit exceeded (time)', 'SZS status ResourceOut']"
MGT037+1.p,PickGiven2_Horn,largest,"['cnf(c8132,plain,~decreases(resilience(resilience(equilibrium(zero))))|decreases(resilience(resilience(equilibrium(cardinality_at_time(efficient_producers,skolem0002)))))).', '', 'cnf(c8147,plain,~constant(resilience(resilience(equilibrium(zero))))|constant(resilience(resilience(equilibrium(cardinality_at_time(efficient_producers,skolem0002)))))).', '', '', 'cnf(c8155,plain,~environment(equilibrium(resilience(equilibrium(zero))))|environment(equilibrium(resilience(equilibrium(cardinality_at_time(efficient_producers,skolem0002)))))).', '', 'cnf(c8164,plain,~decreases(equilibrium(resilience(equilibrium(zero))))|decreases(equilibrium(resilience(equilibrium(cardinality_at_time(efficient_producers,skolem0002)))))).', '', 'Failure: Resource limit exceeded (time)', 'SZS status ResourceOut']"
MGT061+1.p,PickGiven2_Horn,smallest,"['', '', '', '', '', '', '', '', '', 'Failure: Resource limit exceeded (time)', 'SZS status ResourceOut']"
MGT061+1.p,PickGiven2_Horn,largest,"['', '', '', '', '', '', '', '', '', 'Failure: Resource limit exceeded (time)', 'SZS status ResourceOut']"
MGT067+1.p,PickGiven2_Horn,smallest,"['Initial clauses    : 180', 'Processed clauses  : 407', 'Factors computed   : 0', 'Resolvents computed: 264', 'Tautologies deleted: 0', 'Forward subsumed   : 15', 'Backward subsumed  : 8', '-------- CPU Time ---------', 'User time          : 0.873 s', 'System time        : 0.010 s', 'Total time         : 0.883 s']"
MGT067+1.p,PickGiven2_Horn,largest,"['Initial clauses    : 180', 'Processed clauses  : 700', 'Factors computed   : 0', 'Resolvents computed: 557', 'Tautologies deleted: 0', 'Forward subsumed   : 15', 'Backward subsumed  : 9', '-------- CPU Time ---------', 'User time          : 3.072 s', 'System time        : 0.000 s', 'Total time         : 3.072 s']"
NLP141+1.p,PickGiven2_Horn,smallest,"['Initial clauses    : 154', 'Processed clauses  : 473', 'Factors computed   : 81', 'Resolvents computed: 779', 'Tautologies deleted: 129', 'Forward subsumed   : 28', 'Backward subsumed  : 5', '-------- CPU Time ---------', 'User time          : 0.467 s', 'System time        : 0.031 s', 'Total time         : 0.498 s']"
NLP141+1.p,PickGiven2_Horn,largest,"['Initial clauses    : 154', 'Processed clauses  : 572', 'Factors computed   : 3', 'Resolvents computed: 595', 'Tautologies deleted: 3', 'Forward subsumed   : 149', 'Backward subsumed  : 0', '-------- CPU Time ---------', 'User time          : 0.610 s', 'System time        : 0.021 s', 'Total time         : 0.632 s']"
NLP145+1.p,PickGiven2_Horn,smallest,"['Initial clauses    : 154', 'Processed clauses  : 481', 'Factors computed   : 81', 'Resolvents computed: 801', 'Tautologies deleted: 129', 'Forward subsumed   : 26', 'Backward subsumed  : 5', '-------- CPU Time ---------', 'User time          : 0.567 s', 'System time        : 0.000 s', 'Total time         : 0.567 s']"
NLP145+1.p,PickGiven2_Horn,largest,"['Initial clauses    : 154', 'Processed clauses  : 599', 'Factors computed   : 3', 'Resolvents computed: 627', 'Tautologies deleted: 3', 'Forward subsumed   : 157', 'Backward subsumed  : 0', '-------- CPU Time ---------', 'User time          : 0.629 s', 'System time        : 0.031 s', 'Total time         : 0.660 s']"
NUN080+1.p,PickGiven2_Horn,smallest,"['', '', '', '', 'cnf(c1290,plain,id(skolem0011(X6659,X6657),X6658)|~id(skolem0019(X6657),X6658)).', '', '', '', '', 'Failure: Resource limit exceeded (time)', 'SZS status ResourceOut']"
NUN080+1.p,PickGiven2_Horn,largest,"['', '', 'cnf(c29886,plain,id(skolem0004(X7331),skolem0007(skolem0001(skolem0004(X7330))))).', '', '', '', '', '', '', 'Failure: Resource limit exceeded (time)', 'SZS status ResourceOut']"
